,year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,feedback
66,Year 3,data science and analytics,No,To go to class,3,40,2024-09-30,Yes,cannot hold to anything
67,Year 4,materials science and engineering,No,To go to class,2,10,2024-10-01,Yes,"Missing at least 1 to 2 buses because of the crowd on the bus (I cannot fit), Cannot hold onto anything on the bus, the number of things I have to carry on that day (e.g. if I have to bring CCA logistics to school, then I won't take ISB because paiseh)"
68,Year 1,political science,No,To go to CCA sessions,1,5,2024-10-01,No,whether theres seats
69,Year 1,malay studies,No,To go to class,1,10,2024-10-01,No,nil!
70,Year 1,global studies,No,To go to CCA sessions,1,5,2024-10-01,No,nil
71,Year 1,anthropology,No,To go to CCA sessions,1,5,2024-10-01,No,No
72,Year 2,accountancy,No,To go to class,3,5,2024-10-01,No,mainly crowdedness and waiting time!
73,Year 1,life sciences,No,To go to class,2,10,2024-10-01,No,How roughly the driver drives eg if they speed over a speed bump or turn extra hard and the passengers are tossed around
74,Year 3,geography,No,To go to class,2,15,2024-10-01,No,NA
75,Year 1,pharmaceutical science,Yes,To go to class,3,20,2024-10-01,No,NO
76,Year 4,economics,No,To go to class,2,10,2024-10-01,Yes,NIL
77,Year 1,nursing,No,To go to class,1,10,2024-10-02,No,Tourists
78,Year 4,history,No,To go to class,2,22,2024-10-02,No,nil
79,Year 3,life sciences,No,To go to class,2,6,2024-10-02,Yes,the bus driver’s attitude
80,Year 4,engineering,No,To go to class,3,15,2024-10-02,No,the driver's mood on that day
81,Year 4,biomedical engineering,No,To go to class,4,20,2024-10-02,No,Friendliness of the driver matters
82,Year 2,quantitative finance,No,To go to class,3,30,2024-10-02,Yes,"the shakiness of the bus, when it’s very crowded there’s limited poles to hold onto. It cause me to stumble sometimes"
83,Year 4,data science and analytics,No,To go to MRT,2,10,2024-10-01,No,-
