year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 3,data science and analytics,No,To go to class,3,35,2024-09-30,Yes,UHC / Opp UHC,LT27 / S17,A2,1900-01-01 14:00:00,Sunny,0,20,3,9,2,5,7,4
Year 3,data science and analytics,No,To go to class,4,30,2024-09-30,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 21:00:00,Sunny,0,10,4,8,3,4,7,5
Year 1,data science and analytics,No,To go to class,2,15,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,1900-01-01 14:00:00,Sunny,0,25,1,1,1,1,1,1
Year 1,data science and analytics,No,To go to MRT,2,10,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,0,15,3,3,1,2,4,2
Year 1,sociology,Yes,To go to class,4,15,2024-09-30,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:30:00,Sunny,0,9,4,1,1,2,3,2
Year 3,data science and analytics,No,To go to MRT,2,25,2024-09-30,Yes,UHC / Opp UHC,UTown,D2,1900-01-01 11:00:00,Sunny,0,6,6,4,8,6,8,8
Year 2,computer science,Yes,To go to class,2,30,2024-09-29,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 18:00:00,Sunny,0,5,7,7,8,8,7,9
Year 3,data science and analytics,Yes,To go to class,2,10,2024-09-30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 08:00:00,Sunny,0,5,7,5,7,7,8,8
Year 2,computer science,No,To go to class,1,5,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 09:00:00,Sunny,0,5,6,8,6,6,7,6
Year 2,computer science,No,To go to class,2,30,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 10:00:00,Sunny,0,5,7,7,5,5,5,6
Year 2,computer science,No,To go to class,2,10,2024-09-30,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:00:00,Sunny,0,2,8,6,7,7,7,8
Year 2,economics,Yes,To go to class,4,30,2024-09-30,Yes,UTown,UHC / Opp UHC,D2,1900-01-01 15:20:00,Sunny,0,0,10,9,1,1,6,4
Year 2,history,No,To go to class,4,20,2024-10-01,No,IT / CLB,LT13 / Ventus,A1,1900-01-01 15:17:00,Sunny,0,5,7,5,6,6,6,6
Year 3,data science and analytics,No,To go to MRT,3,35,2024-10-01,Yes,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Sunny,0,5,6,7,4,5,7,6
Year 3,data science and analytics,No,To go to class,2,25,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 11:30:00,Sunny,0,8,4,3,8,8,9,8
Year 4,mechanical engineering,No,All of the above,2,10,2024-10-01,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 16:30:00,Rainy,0,5,5,7,5,5,5,5
Year 3,data science and analytics,No,To go to class,3,40,2024-10-01,Yes,LT27 / S17,IT / CLB,A1,1900-01-01 12:30:00,Sunny,0,5,5,10,6,5,8,7
Year 3,data science and analytics,No,To go to class,3,40,2024-09-30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 08:00:00,Rainy,0,10,6,10,5,3,8,5
Year 4,materials science and engineering,No,To go to class,2,10,2024-10-01,Yes,LT27 / S17,IT / CLB,A1,1900-01-01 09:50:00,Sunny,0,5,7,7,7,7,7,8
Year 1,political science,No,To go to CCA sessions,1,5,2024-10-01,No,UTown,IT / CLB,D1,1900-01-01 10:55:00,Sunny,0,3,9,4,8,8,8,8
Year 1,malay studies,No,To go to class,1,10,2024-10-01,No,IT / CLB,UTown,D1,1900-01-01 18:00:00,Sunny,0,4,7,6,5,5,7,7
Year 1,global studies,No,To go to CCA sessions,1,5,2024-10-01,No,IT / CLB,PGP,A1,1900-01-01 15:00:00,Sunny,0,8,4,1,10,10,10,10
Year 1,anthropology,No,To go to CCA sessions,1,5,2024-10-01,No,LT27 / S17,LT13 / Ventus,A1,1900-01-01 17:21:00,Sunny,0,5,6,7,6,7,10,8
Year 2,accountancy,No,To go to class,3,5,2024-10-01,No,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 17:45:00,Rainy,0,5,9,4,9,8,8,9
Year 1,life sciences,No,To go to class,2,10,2024-10-01,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:59:00,Sunny,0,5,7,7,8,7,10,8
Year 3,geography,No,To go to class,2,15,2024-10-01,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 13:35:00,Rainy,0,7,3,8,4,2,5,4
Year 1,pharmaceutical science,Yes,To go to class,3,60,2024-10-01,No,LT27 / S17,UTown,D2,1900-01-01 13:30:00,Sunny,0,4,4,8,4,5,5,6
Year 4,economics,No,To go to class,2,10,2024-10-01,Yes,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:00:00,Sunny,0,5,8,9,8,8,8,8
Year 1,nursing,No,To go to class,1,10,2024-10-02,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 15:30:00,Sunny,0,17,3,10,4,3,3,4
Year 4,history,No,To go to class,2,22,2024-10-02,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:45:00,Sunny,0,5,6,8,8,7,7,7
Year 3,life sciences,No,To go to class,2,6,2024-10-02,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 14:00:00,Rainy,0,6,4,6,5,7,7,7
Year 4,engineering,No,To go to class,3,15,2024-10-02,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 16:30:00,Rainy,0,6,8,3,8,8,8,8
Year 4,biomedical engineering,No,To go to class,4,20,2024-10-02,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 18:00:00,Sunny,0,15,1,10,1,1,3,2
Year 2,quantitative finance,No,To go to class,3,30,2024-10-02,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 10:50:00,Sunny,0,6,6,3,10,10,10,9
Year 4,data science and analytics,No,To go to MRT,2,10,2024-10-01,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 20:15:00,Sunny,0,5,5,10,2,2,3,4
Year 3,environmental studies,No,To go to class,2,7,2024-10-02,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 17:50:00,Sunny,0,4,8,10,1,1,3,1
Year 3,life sciences,No,To go to class,2,10,2024-10-01,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:41:00,Sunny,0,6,7,8,5,6,7,7
Year 4,psychology,No,To go to class,3,15,2024-10-02,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 17:00:00,Sunny,0,5,8,5,6,6,9,8
Year 3,data science and analytics,No,To go to class,3,30,2024-10-02,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 15:15:00,Sunny,0,5,7,6,5,7,8,6
Year 3,statistics,No,To go to class,1,5,2024-10-02,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 19:40:00,Sunny,0,2,5,5,5,5,10,5
Year 4,materials science and engineering,No,To go to class,2,12,2024-10-02,No,LT27 / S17,IT / CLB,A1,1900-01-01 09:45:00,Sunny,0,4,9,7,8,9,9,10
Year 3,data science and analytics,No,To go to class,2,40,2024-10-03,No,COM3,LT27 / S17,D2,1900-01-01 11:40:00,Sunny,0,6,5,7,9,8,9,9
Year 3,data science and analytics,No,To go to class,4,40,2024-10-03,Yes,COM3,LT27 / S17,D2,1900-01-01 13:50:00,Sunny,0,10,3,7,5,7,8,6
Year 3,life sciences,No,To go for meals,0,15,2024-10-03,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 14:44:00,Sunny,0,5,8,3,9,8,8,7
Year 4,data science n psychology,No,To go to MRT,2,5,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 15:20:00,Sunny,0,2,9,9,9,9,9,9
Year 3,data science and analytics,No,To go to class,2,30,2024-10-03,Yes,LT27 / S17,UHC / Opp UHC,A1,1900-01-01 18:00:00,Rainy,0,5,6,5,5,5,8,8
Year 3,data science and analytics,No,To go to class,4,25,2024-10-03,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 20:50:00,Sunny,0,15,4,9,3,4,7,4
Year 3,data science and analytics,No,To go to class,3,30,2024-10-04,No,LT13 / Ventus,LT27 / S17,A1,1900-01-01 11:30:00,Rainy,0,2,8,7,5,6,8,6
Year 4,economics,No,To go to class,2,10,2024-10-04,No,UTown,IT / CLB,D1,1900-01-01 13:30:00,Rainy,0,15,6,8,7,5,7,6
Year 4,economics,No,To go to CCA sessions,4,12,2024-10-04,No,PGP,LT13 / Ventus,A2,1900-01-01 16:16:00,Sunny,0,12,5,6,5,7,6,7
Year 1,sociology,Yes,To go to class,2,5,2024-10-03,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:40:00,Sunny,0,15,2,9,3,4,4,4
Year 1,data science and analytics,No,To go to class,1,10,2024-10-03,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:45:00,Sunny,0,15,2,9,3,3,4,2
Year 1,sociology,Yes,To go to class,4,10,2024-10-04,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 13:00:00,Sunny,0,3,6,7,5,4,5,4
Year 1,data science and analytics,No,To go to class,1,10,2024-10-04,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:15:00,Sunny,0,5,6,4,5,6,6,6
Year 3,anthropology,No,To go to class,2,35,2024-10-03,Yes,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 17:30:00,Sunny,0,2,6,9,6,6,7,6
