Timestamp,What year of study are you in?,What major are you studying?,Do you stay on campus?,"In general, what is the main reason that you take the school bus?","On a normal school day, how many times do you take the school bus? Please enter a non-negative integer.","On a normal school day, how long do you spend riding the school bus in total (in minutes)? This does not include the time you spend waiting for the bus.",Please enter today's date.,Do you have an exam today?,Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Are there any other factors that influence how satisfied you are with the NUS bus system?
9/27/2024 3:09:46,Year 2,social work,No,To go to class,5,20 mins,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,10:02:00 AM,Sunny,10,4,8,4,8,7,7,8,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,6:01:00 PM,Rainy,10,10,8,8,7,7,8,7,"how packed the buses are, whether the nus bus app is accurate or not, whether the bus driver is friendly or not, other passengers' behaviour/actions on the bus (eg. whether they move in)"
9/27/2024 3:12:39,Year 2,Business Administration,Yes,To go to class,2,30,9/26/2024,No,UTown,BIZ2 / Opp HSSML,D1,11:45:00 AM,Sunny,30,15,4,9,6,4,9,6,BIZ2 / Opp HSSML,UTown,D1,9:30:00 PM,Sunny,5,12,4,1,10,8,9,6,Whether I can get on the bus
9/27/2024 7:35:26,Year 3,DSA,No,To go to MRT,4,30,9/17/2024,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,4:00:00 PM,Sunny,20,10,4,9,3,4,6,5,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,11:30:00 AM,Sunny,15,8,6,7,3,6,7,6,Whether I can hold on to any grab poles or hand grips when the bus is moving
9/27/2024 12:08:05,Year 3,Data Science and Analytics,No,To go to class,2,30,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,10:00:00 AM,Sunny,50,5,10,10,5,10,6,7,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,5:00:00 PM,Sunny,50,15,1,10,1,1,2,3,Nope
9/27/2024 12:23:03,Year 4,Nursing ,No,To go to class,2,5-10,9/27/2024,No,LT27 / S17,IT / CLB,A1,10:00:00 AM,Sunny,10,7,5,7,4,4,6,5,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,7:40:00 PM,Sunny,20,10,4,9,3,4,6,4,"If there are increased intervals of the buses, I would be more satisfied "
9/27/2024 12:23:24,Year 3,Data Science and Analytics,Yes,To go to class,2,10 minutes,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,11:00:00 AM,Sunny,5,1,10,1,10,10,10,10,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,3:00:00 PM,Sunny,5,1,10,1,10,10,10,10,nope
9/27/2024 12:25:26,Year 3,Data Science and Analytics,No,To go to class,2,15,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,9:00:00 AM,Rainy,50,20,1,10,1,1,1,1,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,6:00:00 PM,Rainy,40,25,1,10,1,1,1,1,nope
9/27/2024 12:28:01,Year 3,Data Science and Analytics,No,To go to class,2,15,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,10:30:00 AM,Sunny,5,3,7,3,7,7,7,7,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A1,5:30:00 PM,Sunny,15,10,7,3,7,7,7,7,nope
9/27/2024 12:35:23,Year 3,Data Science and Analytics,Yes,To go for meals,4,60,9/27/2024,No,UHC / Opp UHC,UTown,D2,1:00:00 PM,Sunny,40,15,3,8,3,3,3,3,UTown,UHC / Opp UHC,D2,3:00:00 PM,Sunny,25,15,3,8,3,3,3,3,nope
9/27/2024 12:37:28,Year 3,Data Science and Analytics,Yes,To go for meals,4,15,9/27/2024,No,UHC / Opp UHC,UTown,D2,6:00:00 PM,Sunny,40,20,3,8,3,3,3,3,UTown,UHC / Opp UHC,D2,8:00:00 PM,Sunny,25,15,3,8,3,3,3,3,nope
