Timestamp,What year of study are you in?,What major are you studying?,Do you stay on campus?,"In general, what is the main reason that you take the school bus?","On a normal school day, how many times do you take the school bus? Please enter a non-negative integer.","On a normal school day, how long do you spend riding the school bus in total (in minutes)? This does not include the time you spend waiting for the bus.",Please enter today's date.,Do you have an exam today?,Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Are there any other factors that influence how satisfied you are with the NUS bus system?
9/30/2024 17:21:21,Year 2,Computer Science,No,To go to class,2,30,9/30/2024,No,LT27 / S17,LT13 / Ventus,A2,1:30:00 PM,Sunny,10,4,6,8,5,4,5,6,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,10:00:00 AM,Sunny,10,5,7,7,5,5,5,6,NIL
9/30/2024 17:22:24,Year 2,Computer Science,No,To go to class,2,10,9/30/2024,No,COM3,LT27 / S17,D2,4:00:00 PM,Sunny,35,7,5,8,6,5,5,6,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,5:00:00 PM,Sunny,25,2,8,6,7,7,7,8,NIL
9/30/2024 23:48:25,Year 2,Economics,Yes,To go to class,4,30,9/30/2024,Yes,PGP,UTown,D2,11:55:00 AM,Sunny,10,10,7,5,3,6,8,6,UTown,UHC / Opp UHC,D2,3:20:00 PM,Sunny,40,0,10,9,1,1,6,4,NIL
10/1/2024 10:02:43,Year 2,History,No,To go to class,4,20,10/1/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,10:30:00 AM,Sunny,20,10,4,9,4,4,4,4,IT / CLB,LT13 / Ventus,A1,3:17:00 PM,Sunny,8,5,7,5,6,6,6,6,NIL
10/1/2024 16:02:06,Year 3,DSA,No,To go to MRT,3,35,10/1/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,11:30:00 AM,Sunny,15,8,4,2,8,8,9,8,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,4:00:00 PM,Sunny,20,5,6,7,4,5,7,6,Nil
10/1/2024 16:36:45,Year 3,DSA,No,To go to class,2,25,10/1/2024,Yes,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,4:00:00 PM,Sunny,20,5,6,8,3,4,7,6,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,11:30:00 AM,Sunny,10,8,4,3,8,8,9,8,Nil
10/1/2024 17:05:40,Year 4,Mechanical Engineering,No,All of the above,2-3 times,10,10/1/2024,No,IT / CLB,UTown,D1,11:15:00 AM,Rainy,20,7,5,9,5,5,5,5,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,4:30:00 PM,Rainy,15,5,5,7,5,5,5,5,NIL
10/1/2024 19:07:22,Year 3,DSA,No,To go to class,3,40,10/1/2024,Yes,LT13 / Ventus,LT27 / S17,A1,3:40:00 PM,Sunny,40,4,6,9,6,8,9,10,LT27 / S17,IT / CLB,A1,12:30:00 PM,Sunny,50,5,5,10,6,5,8,7,"driver drive too fast, almost falling"
10/1/2024 19:15:04,Year 3,DSA,No,To go to class,3,40,9/30/2024,Yes,UHC / Opp UHC,LT27 / S17,D1,2:45:00 PM,Rainy,60,8,3,9,4,4,9,7,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,8:00:00 AM,Rainy,70,10,6,10,5,3,8,5,cannot hold to anything
10/1/2024 19:15:08,Year 4,Materials Science and Engineering,No,To go to class,2,10,10/1/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D1,7:50:00 AM,Sunny,40,4,7,7,8,4,9,8,LT27 / S17,IT / CLB,A1,9:50:00 AM,Sunny,10,5,7,7,7,7,7,8,"Missing at least 1 to 2 buses because of the crowd on the bus (I cannot fit), Cannot hold onto anything on the bus, the number of things I have to carry on that day (e.g. if I have to bring CCA logistics to school, then I won't take ISB because paiseh)"
10/1/2024 20:16:57,Year 1,political science,No,To go to CCA sessions,1,5,10/1/2024,No,IT / CLB,UHC / Opp UHC,A2,6:00:00 PM,Sunny,30,5,7,9,5,2,7,6,UTown,IT / CLB,D1,10:55:00 AM,Sunny,30,3,9,4,8,8,8,8,whether theres seats
10/1/2024 20:31:14,Year 1,malay studies ,No,To go to class,1,10-15,10/1/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,11:40:00 AM,Sunny,40-50,1,8,9,4,4,7,7,IT / CLB,UTown,D1,6:00:00 AM,Sunny,30,4,7,6,5,5,7,7,nil!
10/1/2024 20:39:08,Year 1,global studies,No,To go to CCA sessions,1,5,10/1/2024,No,LT13 / Ventus,LT27 / S17,D1,6:05:00 PM,Sunny,1,5,8,7,4,7,7,7,IT / CLB,PGP,A1,3:00:00 PM,Sunny,2,8,4,1,10,10,10,10,nil
10/1/2024 21:12:59,Year 1,Anthropology ,No,To go to CCA sessions,1,5,10/1/2024,No,IT / CLB,LT27 / S17,A2,3:40:00 PM,Sunny,30,4,10,8,6,4,10,9,LT27 / S17,LT13 / Ventus,A1,5:21:00 PM,Sunny,40,5,6,7,6,7,10,8,No
10/1/2024 23:07:24,Year 2,Accountancy,No,To go to class,3,5,10/1/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D1,7:45:00 AM,Rainy,10,4,3,4,3,6,6,7,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A1,5:45:00 PM,Rainy,15,5,9,4,9,8,8,9,mainly crowdedness and waiting time!
10/1/2024 23:17:25,Year 1,Life Sci,No,To go to class,2,10-20min,10/1/2024,No,IT / CLB,LT27 / S17,A2,9:50:00 AM,Sunny,0,8,3,1,10,10,10,6,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,11:59:00 AM,Sunny,15,5,7,7,8,7,10,8,How roughly the driver drives eg if they speed over a speed bump or turn extra hard and the passengers are tossed around
10/1/2024 23:17:46,Year 3,geography ,No,To go to class,2,15mins,10/1/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,8:22:00 AM,Sunny,18,4-6mins,7,4,5,7,8,7,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1:35:00 PM,Rainy,35,7mins,3,8,4,2,5,4,NA
10/1/2024 23:24:48,Year 1,pharmaceutical science,Yes,To go to class,3,60,10/1/2024,No,LT13 / Ventus,LT27 / S17,A1,9:40:00 AM,Sunny,10,4,7,4,6,7,8,8,LT27 / S17,UTown,D2,1:30:00 PM,Sunny,40,4,4,8,4,5,5,6,NO
10/2/2024 0:05:44,Year 4,Economics,No,To go to class,2,10,10/1/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,2:00:00 PM,Sunny,25,5,8,6,8,8,9,8,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,4:00:00 PM,Sunny,30,5,8,9,8,8,8,8,NIL
10/2/2024 0:07:17,Year 1,Nursing,No,To go to class,1,10 minutes,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,12:45:00 PM,Sunny,8,12 minutes,6,8,4,3,3,5,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,3:30:00 PM,Sunny,16,17,3,10,4,3,3,4,Tourists
10/2/2024 2:39:49,Year 4,History,No,To go to class,2,22,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,7:50:00 AM,Sunny,25,4,8,8,7,7,7,7,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,4:45:00 PM,Sunny,30,5,6,8,8,7,7,7,nil
10/2/2024 2:51:33,Year 3,life sciences ,No,To go to class,2,6,10/2/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D1,11:45:00 AM,Sunny,40,1,8,10,3,2,3,5,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,2:00:00 PM,Rainy,20,6,4,6,5,7,7,7,the bus driver’s attitude
10/2/2024 4:26:23,Year 4,Engineering,No,To go to class,3,15,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,10:00:00 AM,Sunny,10,2,8,5,7,7,8,8,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,4:30:00 PM,Rainy,6,6,8,3,8,8,8,8,the driver's mood on that day
10/2/2024 10:33:42,Year 4,Biomedical Engineering ,No,To go to class,4,20 minutes ,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,10:30:00 AM,Sunny,30,12,2,7,3,3,6,3,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,6:00:00 PM,Sunny,60,15,1,10,1,1,3,2,Friendliness of the driver matters 
10/2/2024 11:24:43,Year 2,Quantitave Finance ,No,To go to class,3,30 mins,10/2/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,8:50:00 AM,Sunny,30,1,10,8,7,6,10,7,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,10:50:00 AM,Sunny,10,6,6,3,10,10,10,9,"the shakiness of the bus, when it’s very crowded there’s limited poles to hold onto. It cause me to stumble sometimes "
10/2/2024 13:15:43,Year 4,DSA,No,To go to MRT,2,10,10/1/2024,No,UHC / Opp UHC,LT27 / S17,D2,3:45:00 PM,Sunny,30,5,6,9,2,6,6,6,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A1,8:15:00 PM,Sunny,20,5,5,10,2,2,3,4,-
10/2/2024 13:21:55,Year 3,EVE,No,To go to class,2,7,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,11:45:00 AM,Sunny,30,8,1,8,4,4,5,5,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,5:50:00 PM,Sunny,35,4,8,10,1,1,3,1,"Old/new bus - old buses tend to have narrow walkways and less seating (long waiting time before boarding as many are slowly alighting, very difficult to alight when the bus is full), the suspension is also much worse - less safe"
10/2/2024 16:21:16,Year 3,life science,No,To go to class,2,10,10/1/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,11:48:00 AM,Rainy,10,3,8,5,8,8,8,9,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1:41:00 PM,Sunny,15,6,7,8,5,6,7,7,NIL
10/2/2024 18:50:18,Year 4,Psych,No,To go to class,3,15,10/2/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,9:00:00 AM,Sunny,30,13,2,10,2,2,3,2,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,5:00:00 PM,Sunny,10,5,8,5,6,6,9,8,NIL
10/2/2024 19:57:33,Year 3,DSA,No,To go to class,3,30,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1:10:00 PM,Sunny,15,6,5,7,5,6,8,7,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,3:15:00 PM,Sunny,20,5,7,6,5,7,8,6,Nil
10/2/2024 20:53:09,Year 3,Statistics,No,To go to class,1,5,10/2/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,6:00:00 PM,Sunny,10,5,5,6,6,5,5,5,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,7:40:00 PM,Sunny,5,2,5,5,5,5,10,5,Exam period or not
10/2/2024 23:01:00,Year 4,Engineering - Material Science and Engineering,No,To go to class,2,15,10/2/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,8:10:00 AM,Sunny,15,1,10,2,9,10,10,10,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,A2,11:45:00 AM,Sunny,15,6,7,1,10,10,10,10,Not really satisfied but I don't see a point in the wireless charging system the new NUS buses have cos the rides are too short for it to have a significance impact.
10/2/2024 23:58:28,Year 4,Materials Science and Engineering,No,To go to class,2,12,10/2/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,7:53:00 AM,Sunny,15,5,7,5,8,9,9,8,LT27 / S17,IT / CLB,A1,9:45:00 AM,Sunny,8,4,9,7,8,9,9,10,"Whether I have enough standing space to be close enough to any grab bar, ease of leaving the bus, number of buses I have to wait for until I manage to get on one"
10/3/2024 13:01:07,Year 3,DSA,No,To go to class,2,40,10/3/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,10:30:00 AM,Sunny,60,3,8,10,3,5,9,7,COM3,LT27 / S17,D2,11:40:00 AM,Sunny,20,6,5,7,9,8,9,9,how rough the bus driver drives
10/3/2024 13:55:56,Year 3,DSA,No,To go to class,4,40,10/3/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,12:30:00 PM,Rainy,15,6,5,6,7,7,8,8,COM3,LT27 / S17,D2,1:50:00 PM,Sunny,30,10,3,7,5,7,8,6,Nil
10/3/2024 16:19:40,Year 3,Life Science,No,To go for meals,0,15,10/3/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,9:30:00 AM,Sunny,50,10,4,10,2,3,7,5,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,2:44:00 PM,Sunny,15,5,8,3,9,8,8,7,When I reach the bus stop and the bus just arrives. 
10/3/2024 18:25:45,Year 4,data science n psychology,No,To go to MRT,2,5,10/3/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,6:24:00 PM,Sunny,10,0,9,5,9,10,10,10,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,3:20:00 PM,Sunny,8,2,9,9,9,9,9,9,sometimes bus damn shaky or the uncle drive very fast
10/3/2024 21:12:42,Year 3,Data Science & Analytics,No,To go to class,2,30,10/3/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,10:40:00 AM,Sunny,40,8,6,6,4,5,7,7,LT27 / S17,UHC / Opp UHC,A1,6:00:00 PM,Rainy,40,5,6,5,5,5,8,8,Driving of the bus driver 
10/4/2024 8:41:34,Year 3,DSA,No,To go to class,4,25,10/3/2024,Yes,LT27 / S17,UHC / Opp UHC,D2,6:00:00 PM,Sunny,25,2,8,7,4,6,8,6,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,8:50:00 PM,Sunny,50,15,4,9,3,4,7,4,Nil
10/4/2024 11:40:58,Year 3,DSA,No,To go to class,3,30,10/4/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,9:20:00 AM,Sunny,15,6,6,3,8,8,9,8,LT13 / Ventus,LT27 / S17,A1,11:30:00 AM,Rainy,5,2,8,7,5,6,8,6,Nil
10/4/2024 12:19:13,Year 4,Economics,No,To go to class,2,10,10/4/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,10:04:00 AM,Rainy,20,8,7,8,6,7,7,8,UTown,IT / CLB,D1,1:30:00 PM,Rainy,32,15,6,8,7,5,7,6,NA
10/4/2024 12:22:37,Year 4,Economics,No,To go to CCA sessions,4,12,10/4/2024,No,LT27 / S17,UHC / Opp UHC,A1,9:12:00 AM,Sunny,5,6,6,4,7,7,8,8,PGP,LT13 / Ventus,A2,4:16:00 PM,Sunny,15,12,5,6,5,7,6,7,NA
10/5/2024 10:10:41,Year 1,sociology,Yes,To go to class,2,5,10/3/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,9:25:00 AM,Sunny,25,6,4,8,3,3,4,4,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,11:40:00 AM,Sunny,30,15,2,9,3,4,4,4,nil
10/5/2024 10:12:39,Year 1,dsa,No,To go to class,1,10,10/3/2024,Yes,LT27 / S17,UHC / Opp UHC,D2,9:20:00 AM,Sunny,15,3,7,3,6,7,7,7,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,11:45:00 AM,Sunny,20,15,2,9,3,3,4,2,nil
10/5/2024 10:15:08,Year 1,sociology,Yes,To go to class,4,10,10/4/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,9:30:00 AM,Sunny,15,5,5,7,5,5,4,4,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1:00:00 PM,Sunny,10,3,6,7,5,4,5,4,nil
10/5/2024 10:17:01,Year 1,dsa,No,To go to class,1,10,10/4/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,9:30:00 AM,Sunny,10,8,5,7,5,4,5,4,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,4:15:00 PM,Sunny,10,5,6,4,5,6,6,6,nil
10/5/2024 18:05:40,Year 3,Anthropology,No,To go to class,2,35,10/3/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,3:00:00 PM,Sunny,25,5,7,8,6,5,8,7,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,5:30:00 PM,Sunny,25,2,6,9,6,6,7,6,Presence of non-students/faculty/staff
